Druid,Ckey,Symph_Bar,Call_Num,Title
xz955sc7677,2875456,3.61052E+13,G9410 S25 .U5 SHEET 3183-I-SE,"Mariana Islands 1:25,000"
nn276zh3282,2875456,3.61052E+13,G9410 S25 .U5 SHEET 3264-I-SW,"Mariana Islands 1:25,000"
tr065bb2178,2875456,3.61052E+13,G9410 S25 .U5 SHEET 3264-III-NE,"Mariana Islands 1:25,000"
hm952pq5877,2875456,3.61052E+13,G9410 S25 .U5 SHEET 3264-IV-SE,"Mariana Islands 1:25,000"
ts745jq8442,2875456,3.61052E+13,G9410 S25 .U5 SHEET 3282-III-SE,"Mariana Islands 1:25,000"
py305vg9635,2875456,3.61051E+13,G9410 S25 .U5 SHEET 3366-I-NE,"Mariana Islands 1:25,000"
wv126yj8798,2875456,3.61052E+13,G9410 S25 .U5 SHEET 3366-I-SW,"Mariana Islands 1:25,000"
kw824xq5575,2875456,3.61051E+13,G9410 S25 .U5 SHEET 3367-I-NE,"Mariana Islands 1:25,000"
zd688bw8102,2875456,3.61051E+13,G9410 S25 .U5 SHEET 3367-I-NW,"Mariana Islands 1:25,000"
gc274sr0891,2875456,3.61051E+13,G9410 S25 .U5 SHEET 3367-I-SE,"Mariana Islands 1:25,000"
jr657gq0734,2875456,3.61051E+13,G9410 S25 .U5 SHEET 3367-I-SW,"Mariana Islands 1:25,000"
zb908gn7350,2875456,3.61051E+13,G9410 S25 .U5 SHEET 3367-II-NE,"Mariana Islands 1:25,000"
kr750cg5481,2875456,3.61051E+13,G9410 S25 .U5 SHEET 3367-II-NW,"Mariana Islands 1:25,000"
gw936yy4540,2875456,3.61051E+13,G9410 S25 .U5 SHEET 3367-II-SW,"Mariana Islands 1:25,000"
wz100sy9615,2875456,3.61052E+13,G9410 S25 .U5 SHEET 3376-II-NW,"Mariana Islands 1:25,000"
wd063cx8822,2875456,3.61052E+13,G9410 S25 .U5 SHEET 3376-II-SW,"Mariana Islands 1:25,000"
