Call_Num,Purl_No1,Purl_No2,Purl_No7,Purl_No10,Purl_No11,Purl_No13,Purl_No14,Purl_No15,Purl_No17,Purl_No20,Purl_No22,Purl_No4,Purl_No6,Purl_No8,Purl_No9
G5401 .J15 1908 .S6 NO.1,https://purl.stanford.edu/py081jx1885,,,https://purl.stanford.edu/hn019pw2897,https://purl.stanford.edu/jj902ct9508,https://purl.stanford.edu/cr933rd0831,https://purl.stanford.edu/vv704wd6081,https://purl.stanford.edu/bk991hg6884,https://purl.stanford.edu/zn518bh3787,https://purl.stanford.edu/qw415dt4139,https://purl.stanford.edu/wq751pg6869,https://purl.stanford.edu/pt685cr4590,https://purl.stanford.edu/pr863nd9151,https://purl.stanford.edu/sq556ch2787,https://purl.stanford.edu/qh548rm7216
G5401 .J15 1908 .S6 NO.12,,,,,,,,,,,,,,,
G5401 .J15 1908 .S6 NO.16,,,,,,,,,,,,,,,
G5401 .J15 1908 .S6 NO.18,,,,,,,,,,,,,,,
G5401 .J15 1908 .S6 NO.19,,,,,,,,,,,,,,,
G5401 .J15 1908 .S6 NO.2,,https://purl.stanford.edu/fq448gy4160,,,,,,,,,,,,,
G5401 .J15 1908 .S6 NO.21,,,,,,,,,,,,,,,
G5401 .J15 1908 .S6 NO.23,,,,,,,,,,,,,,,
G5401 .J15 1908 .S6 NO.3,,,,,,,,,,,,,,,
G5401 .J15 1908 .S6 NO.5,,,,,,,,,,,,,,,
G5401 .J15 1908 .S6 NO.7,,,https://purl.stanford.edu/nc525qx4549,,,,,,,,,,,,
